0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2.6196767642021323e-10,2.508055608878114e-10,2.390685330293218e-10,2.2854435643152575e-10,2.1805529112090048e-10,2.083855979518478e-10,1.988433902470304e-10,1.8978825296742014e-10,1.8132685260333957e-10,1.7308021992634126e-10,1.6560803665273475e-10,1.5791935715462874e-10,1.509362680444626e-10,1.440673759491821e-10,1.3749718458134656e-10,1.31374361768293e-10,1.2538098244157948e-10,1.2000777324269485e-10,1.144143822684215e-10,1.0936655153537272e-10,1.0435686164822111e-10,9.972249497618404e-11,9.516364622686154e-11,9.083464963464237e-11,8.684472070222947e-11,8.287887481357127e-11,7.924787091131301e-11,7.559282375013895e-11,7.223166561584034e-11,6.894788793504496e-11,6.580727343179473e-11,6.287399413987825e-11,6.000913079995183e-11,5.7425443044592675e-11,5.47575280793677e-11,5.2337190969561683e-11,4.9943682238546026e-11,4.772298594874162e-11,4.555341695524618e-11,4.347458526903069e-11,4.156067087287674e-11,3.966527228131394e-11,3.792311114004141e-11,3.617793984377688e-11,3.456752154310987e-11,3.299746348217704e-11,3.150303825933275e-11,3.0090900465428596e-11,2.8737745074805448e-11,2.7479558436939012e-11,2.6206585478624835e-11,2.5046287851049722e-11,2.390736297973278e-11,2.2838534950169935e-11,2.180120790564189e-11,2.080754252464285e-11,1.9889659166013122e-11,1.898366532298419e-11,1.814797644033415e-11,1.7321651443103782e-11,1.6543003149133088e-11,1.5804329197769712e-11,1.5077429323274226e-11,1.4401329089309401e-11,1.3753666599087028e-11,1.3149949479494016e-11,1.2542383297415685e-11,1.1986228342310099e-11,1.1441693185671165e-11,1.0929853790015422e-11,1.0433831810135678e-11,9.962937223527394e-12,9.524593587535311e-12,9.086957407934606e-12,8.684793931428567e-12,8.291904223582955e-12,7.917086947610373e-12,7.55806180887822e-12,7.216131232006399e-12,6.901519421211517e-12,6.582447346468479e-12,6.2928365780951985e-12,6.003693221725945e-12,5.7362403607343176e-12,5.475864433508923e-12,5.230767473572045e-12,4.993561916754475e-12,4.7682509582312405e-12,4.5580183285174586e-12,4.348979833663303e-12,4.1562073239856066e-12,3.969425031806899e-12,3.78896817054389e-12,3.617867753395204e-12,3.453371541487521e-12,3.302669780597002e-12,3.150352166558758e-12,3.0114528455474185e-12,2.873342481618081e-12,2.745220361401747e-12,2.6218127613014243e-12
2.335851825696189e-10,2.2326211461094488e-10,2.1309784133919762e-10,2.0357767377747626e-10,1.9432199783080347e-10,1.854701701423677e-10,1.7728982890401193e-10,1.6920405747031758e-10,1.6177282297460805e-10,1.5432778024433965e-10,1.474581643677516e-10,1.4076049573703888e-10,1.344627511090381e-10,1.2836165586972384e-10,1.2256885955489516e-10,1.1717327665010924e-10,1.1181250933523843e-10,1.0684238381033548e-10,1.0198393276043749e-10,9.739888172013328e-11,9.299949719333906e-11,8.876071580430557e-11,8.490322990328284e-11,8.098043089716194e-11,7.741556305059424e-11,7.386019524083744e-11,7.056906734786275e-11,6.736647789677393e-11,6.435079421757605e-11,6.143312111248469e-11,5.866140273550489e-11,5.609499435134318e-11,5.351218593153275e-11,5.1130796220796383e-11,4.8832867528142195e-11,4.661336925676822e-11,4.4508589724870374e-11,4.248224321395061e-11,4.062996601387549e-11,3.875720419727286e-11,3.7047552422058264e-11,3.5355150356373596e-11,3.3772671490212693e-11,3.2263555139703184e-11,3.079714747422637e-11,2.945474533475408e-11,2.807937223016511e-11,2.6843952059318558e-11,2.5621330192066876e-11,2.4469626549744113e-11,2.3369761350111794e-11,2.231338272921971e-11,2.130151239965677e-11,2.0340381995235978e-11,1.9443572663538645e-11,1.8549290441413683e-11,1.7711175026869957e-11,1.6927844973841696e-11,1.616296219124704e-11,1.543050248286381e-11,1.4732742468950115e-11,1.4094700949928293e-11,1.343875711295911e-11,1.2839014083558115e-11,1.2261790661909103e-11,1.1736991826770666e-11,1.1184116261431641e-11,1.0678763219189403e-11,1.0194831889528103e-11,9.734941939379566e-12,9.304910909974474e-12,8.878898773738313e-12,8.506486373229187e-12,8.103417986954023e-12,7.754553597317664e-12,7.38503300280219e-12,7.0512260568565496e-12,6.742066386764881e-12,6.431812356056019e-12,6.14595385491849e-12,5.868275465535843e-12,5.620179811867735e-12,5.3524657553196e-12,5.110701977135439e-12,4.8792429182636505e-12,4.6591848602307196e-12,4.4530162204896186e-12,4.249456282457183e-12,4.0699917183229855e-12,3.875779887578797e-12,3.710384560964574e-12,3.5372702465234844e-12,3.375511365306321e-12,3.2264697974777684e-12,3.0782929102100735e-12,2.941322554543106e-12,2.8072662041960387e-12,2.6890168617309426e-12,2.5629690817906785e-12,2.445928918331641e-12,2.3370512757094426e-12
2.082054697459592e-10,1.9884385203098136e-10,1.898649680640673e-10,1.8123392892416412e-10,1.733202784480778e-10,1.6533042193512778e-10,1.5803785394678671e-10,1.5088818799501533e-10,1.4406749204280585e-10,1.3762997261364865e-10,1.3137441990357786e-10,1.2542180361286962e-10,1.1976429925348998e-10,1.1451094817924558e-10,1.0923265860302814e-10,1.0431961755673311e-10,9.969065768705983e-11,9.516365586899897e-11,9.086789828398405e-11,8.676790892287485e-11,8.297455041108725e-11,7.912747655362311e-11,7.55928269434248e-11,7.221072662653115e-11,6.913688768710281e-11,6.586494176329658e-11,6.287399535375158e-11,6.012511677050508e-11,5.731976827059875e-11,5.478235053368185e-11,5.227900389774851e-11,5.006761139712111e-11,4.770915021067265e-11,4.554442118415956e-11,4.348906500893779e-11,4.1527268590997895e-11,3.969284469218234e-11,3.787079510235447e-11,3.61779399104558e-11,3.455842165308889e-11,3.3079338445502834e-11,3.152112248243895e-11,3.0090900490775814e-11,2.8751087631469998e-11,2.743679421258093e-11,2.6217380422212075e-11,2.5032861267050185e-11,2.3974536255345883e-11,2.2832522681444038e-11,2.1840627901058965e-11,2.0831838717134684e-11,1.9875128359154127e-11,1.8995655176115278e-11,1.8125232968809026e-11,1.7361751130030984e-11,1.653904741104801e-11,1.5827740627223344e-11,1.5089270399840472e-11,1.4401329089838708e-11,1.3759468966849608e-11,1.313136708396788e-11,1.2547079600452358e-11,1.197522266548458e-11,1.1470795194646712e-11,1.0922056596497269e-11,1.0450937952366225e-11,9.969382086509524e-12,9.513483616340852e-12,9.090790993520076e-12,8.675808195604688e-12,8.307150715557897e-12,7.915366795355379e-12,7.573460197225833e-12,7.223428313587555e-12,6.892438742189562e-12,6.586705425004466e-12,6.2847589012907884e-12,6.004823882415433e-12,5.7314517153831e-12,5.48848004890312e-12,5.232178440080276e-12,5.000988612840901e-12,4.771054223319849e-12,4.553188107770393e-12,4.350647502645039e-12,4.152299028386993e-12,3.974882743734694e-12,3.787127634845031e-12,3.6239459241562445e-12,3.456866014157774e-12,3.2987236312149783e-12,3.1522042654314524e-12,3.0079403010486586e-12,2.880620910075222e-12,2.7446094634918437e-12,2.6261789853740035e-12,2.5039597349917348e-12,2.3931276217037828e-12,2.2833128169791724e-12,2.1791833171441643e-12,2.0821427068792615e-12
1.856341119064351e-10,1.7714706963258222e-10,1.693829062858517e-10,1.615491793029905e-10,1.5432792951966126e-10,1.4750699588036276e-10,1.4111197710494532e-10,1.3450202454321913e-10,1.2836171261495739e-10,1.2264643965578192e-10,1.1702635375425256e-10,1.1183806957109161e-10,1.0673441796762266e-10,1.0219285736229589e-10,9.734807190238092e-11,9.31678354766204e-11,8.886440473035166e-11,8.479416509548777e-11,8.103159816004514e-11,7.731853416547069e-11,7.406177011814174e-11,7.055219568525663e-11,6.751794765090004e-11,6.436774491726935e-11,6.143312229745329e-11,5.869508044125299e-11,5.601572316857257e-11,5.352327375254853e-11,5.1083847547333214e-11,4.893207499097174e-11,4.6591256719567373e-11,4.458156479250338e-11,4.25273431210053e-11,4.0582572795132484e-11,3.877945297052813e-11,3.7005360439535137e-11,3.543660554401554e-11,3.3765333729511615e-11,3.230683106388214e-11,3.080451352663324e-11,2.944046866618004e-11,2.809013967345294e-11,2.6809494292536286e-11,2.5615348863608084e-11,2.4449199154625234e-11,2.3412732033346594e-11,2.2298908088969734e-11,2.1333193242703096e-11,2.0352340168244585e-11,1.9422967923668332e-11,1.8558971191873457e-11,1.7724631368732895e-11,1.6956035722768826e-11,1.6159770325325452e-11,1.5459011105712298e-11,1.4742305768345067e-11,1.4088512864545786e-11,1.3446657789719661e-11,1.283125726233596e-11,1.2261790662693868e-11,1.1701657296613763e-11,1.1196435866821676e-11,1.0672462513721479e-11,1.0208592294698095e-11,9.74014482783582e-12,9.295949708149384e-12,8.881994339983825e-12,8.482652483678879e-12,8.113510784318429e-12,7.735360464985704e-12,7.394082910853073e-12,7.0571173777816495e-12,6.742066386851241e-12,6.435249870165275e-12,6.141175948065079e-12,5.876305014570982e-12,5.600562574944706e-12,5.357812768969394e-12,5.111839522288809e-12,4.885222133072254e-12,4.6614492138302955e-12,4.449117704503287e-12,4.250803649009411e-12,4.059665937720286e-12,3.882436221544149e-12,3.70206322721808e-12,3.538428307513637e-12,3.377358879632866e-12,3.223287407065894e-12,3.0797889537930132e-12,2.9392426947725342e-12,2.811963951062695e-12,2.6821946861493047e-12,2.5639169634769255e-12,2.4464236992465464e-12,2.337816399015665e-12,2.230902326878863e-12,2.1293929134698145e-12,2.0343945507557175e-12,1.942910018635673e-12,1.8578461584990688e-12
1.6542631228866112e-10,1.5785740938780552e-10,1.5116976862992205e-10,1.4403631717059306e-10,1.378165585512905e-10,1.3140611267312517e-10,1.2558774565764753e-10,1.1982696646594596e-10,1.1436384212516306e-10,1.0926992397165152e-10,1.0429529132430626e-10,9.981212972071086e-11,9.512258637275017e-11,9.100321827536189e-11,8.681896097002372e-11,8.285441073990744e-11,7.916879314592774e-11,7.555224773176411e-11,7.233106876469502e-11,6.894789644742389e-11,6.591223861788606e-11,6.288766467096768e-11,6.009872574503594e-11,5.7346975922545186e-11,5.4735516120375064e-11,5.22951933373145e-11,4.9916873705601844e-11,4.7761709966517735e-11,4.5553418026891276e-11,4.3547767751390264e-11,4.1549463902013595e-11,3.965461769250569e-11,3.788876919864946e-11,3.6160269167688284e-11,3.4610577205128967e-11,3.29974636599142e-11,3.1541643941448486e-11,3.0096844143661154e-11,2.8760274670910714e-11,2.745145805129897e-11,2.6196998821268135e-11,2.5032861303731073e-11,2.3890852889021312e-11,2.2855332089299517e-11,2.180606047631833e-11,2.083183874918859e-11,1.988478764568271e-11,1.8979024898116792e-11,1.813305776123338e-11,1.7317703430868707e-11,1.6561677792186363e-11,1.5792243504799516e-11,1.5094210460699163e-11,1.4403915222472177e-11,1.3763459343058735e-11,1.3137748901730924e-11,1.2538207344048457e-11,1.1980392449784544e-11,1.1434504129274505e-11,1.0937144648634865e-11,1.0435942444933946e-11,9.96938208717864e-12,9.5245935887718e-12,9.085575474908687e-12,8.67831048535022e-12,8.288056208427522e-12,7.925191203845141e-12,7.558061808955721e-12,7.22342831375581e-12,6.893564314581645e-12,6.586705425088692e-12,6.287537039446064e-12,6.000960814244726e-12,5.7401611404847155e-12,5.475864433528399e-12,5.2339335756519235e-12,4.995618844225438e-12,4.771054223333818e-12,4.558018328543263e-12,4.3478914161573585e-12,4.1594175646276364e-12,3.966600775442594e-12,3.792486855950929e-12,3.617262855361445e-12,3.456866014161289e-12,3.2998203596100056e-12,3.1522042654332142e-12,3.00914996385131e-12,2.873342481618619e-12,2.748099932458288e-12,2.6212006944808977e-12,2.5047219296081236e-12,2.390796730214618e-12,2.2833128169794608e-12,2.1797688359342596e-12,2.0809429285286425e-12,1.990419943005255e-12,1.898398551486967e-12,1.814873893517313e-12,1.7318101247560972e-12,1.654349790983742e-12
1.4764598451151485e-10,1.407608936402166e-10,1.345516269314101e-10,1.2838733115287009e-10,1.22686159021777e-10,1.1707703396721377e-10,1.1176194222335287e-10,1.0678519546511889e-10,1.0196336644735828e-10,9.749652639290332e-11,9.298282958152066e-11,8.886447649004858e-11,8.482447655225638e-11,8.096949654008425e-11,7.735193312718156e-11,7.386020618798798e-11,7.064881619938338e-11,6.73664862053947e-11,6.438884027771917e-11,6.144415972441646e-11,5.871211361681979e-11,5.604295172394201e-11,5.34854251743151e-11,5.11308017304721e-11,4.879894733970814e-11,4.665562654065023e-11,4.450859077086383e-11,4.25273446189349e-11,4.059574974041077e-11,3.875243835695567e-11,3.701989558012418e-11,3.533493477234444e-11,3.380724439530356e-11,3.224114390115501e-11,3.081366636644709e-11,2.941248229326036e-11,2.8097536619933335e-11,2.6821345365887852e-11,2.559886977782215e-11,2.4486352085422223e-11,2.3355010635129064e-11,2.232688881851469e-11,2.1301512421499223e-11,2.0352340199515094e-11,1.9443572721313285e-11,1.8549290447704822e-11,1.7717505446205623e-11,1.6920706509242896e-11,1.6177972220247616e-11,1.5433082859833532e-11,1.4746282421863828e-11,1.4076357816283962e-11,1.3446657793656387e-11,1.2836417438290597e-11,1.2257090533033607e-11,1.1717810051701506e-11,1.1177699772156542e-11,1.0684630757919303e-11,1.0201270818646473e-11,9.740144828488674e-12,9.304910911180403e-12,8.87778090097068e-12,8.494841291284988e-12,8.09817940604868e-12,7.741880322646592e-12,7.3861562803577e-12,7.057117377945786e-12,6.739912790221393e-12,6.435249870247456e-12,6.143423281350575e-12,5.8662302453365874e-12,5.607587606496485e-12,5.350414074270402e-12,5.113252075786772e-12,4.8834596547701225e-12,4.661449213843927e-12,4.4502055267770365e-12,4.248969340718893e-12,4.0649561555284534e-12,3.875779887581951e-12,3.702812108442459e-12,3.5349835229859957e-12,3.3773588796362934e-12,3.2255343631512625e-12,3.0797889537947326e-12,2.9402216338241846e-12,2.807587923414284e-12,2.6835656197526404e-12,2.5607023776430092e-12,2.4532974678779537e-12,2.3370512757104928e-12,2.2309023268791454e-12,2.1301907399177854e-12,2.034070157814446e-12,1.9452071599965115e-12,1.854954945704735e-12,1.772108455419465e-12,1.6918392832059564e-12,1.6208775630344129e-12,1.544074465519048e-12,1.4739425505136997e-12
1.314461881195649e-10,1.2546815538330858e-10,1.1982724490522379e-10,1.1441463139112373e-10,1.092083836378749e-10,1.044544656447426e-10,9.962776840300458e-11,9.52422865961109e-11,9.088468756405906e-11,8.681903097590023e-11,8.287891613396342e-11,7.916882819943444e-11,7.557927152356706e-11,7.216930398426478e-11,6.901200451980532e-11,6.582337287618603e-11,6.29046497865739e-11,6.007757628030935e-11,5.734698173607604e-11,5.475753328129815e-11,5.2264577720206405e-11,4.998579239836795e-11,4.7681779497085565e-11,4.5578453813628956e-11,4.3496339129336233e-11,4.154946536354707e-11,3.9692847391915256e-11,3.788876993052972e-11,3.617203317336075e-11,3.4540395388232115e-11,3.3025277672847925e-11,3.150303844793129e-11,3.017932949496646e-11,2.875108807912119e-11,2.7445493729435564e-11,2.6206585587251563e-11,2.5024136818886955e-11,2.39208205342605e-11,2.2820612782736243e-11,2.1801207968218795e-11,2.0825799112832934e-11,1.9939282628872572e-11,1.8995655232471238e-11,1.8133057776515157e-11,1.7340270524599682e-11,1.6533283202632475e-11,1.5799401917739215e-11,1.5085298139576017e-11,1.4439654605954943e-11,1.3759468976194857e-11,1.3135154456415508e-11,1.2542383299684143e-11,1.1976595055021856e-11,1.1447541313854801e-11,1.0922056597084188e-11,1.0465264559055063e-11,9.966757634235483e-12,9.540185134733235e-12,9.093427407568391e-12,8.678310485669335e-12,8.29190422457739e-12,7.912857881548556e-12,7.561175095068421e-12,7.219556044065348e-12,6.91433171200442e-12,6.58497146583415e-12,6.287537039526273e-12,6.0079679069792955e-12,5.7320496310115115e-12,5.478406792117152e-12,5.227973357260653e-12,5.007183709033403e-12,4.7699133756742654e-12,4.5647702533169295e-12,4.351793118263985e-12,4.1533886779562954e-12,3.969425031838386e-12,3.787127634848116e-12,3.618617283751096e-12,3.4536919423811543e-12,3.3082134692404053e-12,3.1514505148512166e-12,3.009149963852987e-12,2.8752012002978916e-12,2.743396762223698e-12,2.621812761304038e-12,2.5021304151106977e-12,2.3958084362426584e-12,2.28209314096477e-12,2.184209779524292e-12,2.083259481665625e-12,1.9878010465794356e-12,1.899626594737414e-12,1.8125442660861233e-12,1.7318101247562375e-12,1.6529687305805486e-12,1.5828949365008365e-12,1.5089767451120456e-12,1.4423008706108483e-12,1.3759870683154214e-12,1.313013563840948e-12
1.1707730571885336e-10,1.1179218575976676e-10,1.0674799138309e-10,1.0204200637628879e-10,9.734813481369868e-11,9.299963728538401e-11,8.883879074938209e-11,8.482454486631752e-11,8.10576937237849e-11,7.735196733876218e-11,7.397030415829899e-11,7.051873271466878e-11,6.739706955447554e-11,6.431723486546878e-11,6.159683857037185e-11,5.869510136266489e-11,5.603188808385996e-11,5.3537049161334004e-11,5.108970466540564e-11,4.8832880954441874e-11,4.6591258033491464e-11,4.450859265013085e-11,4.2516150871378695e-11,4.0696504724813235e-11,3.8790703615105896e-11,3.7019896294504716e-11,3.537156751234772e-11,3.3750763417121774e-11,3.225442552375347e-11,3.078253808212774e-11,2.9472636978264537e-11,2.8075487345484378e-11,2.6869844734402465e-11,2.5628761183740726e-11,2.445490218118093e-11,2.3369761630380974e-11,2.229890811641234e-11,2.135962137619971e-11,2.034747361112374e-11,1.9472375583344847e-11,1.8558971246861997e-11,1.7717505461123486e-11,1.6927845020317488e-11,1.615511084931662e-11,1.543628022108853e-11,1.4732742472796583e-11,1.4112161249677098e-11,1.3437065146695358e-11,1.2857462636323226e-11,1.2265019457257635e-11,1.1704141796788955e-11,1.1184116267282604e-11,1.067357588559722e-11,1.0220028123853317e-11,9.738028579569973e-12,9.317391579675203e-12,8.88411869961605e-12,8.479552139748186e-12,8.103417988425202e-12,7.731942608506884e-12,7.387547297260052e-12,7.051226056936895e-12,6.752305606422641e-12,6.431075339965793e-12,6.1525601145643636e-12,5.869679015051957e-12,5.601645136665367e-12,5.352465755441757e-12,5.108443821719718e-12,4.89017410775985e-12,4.660528669330612e-12,4.458427497853348e-12,4.252874302163598e-12,4.058316667034944e-12,3.878058467013251e-12,3.700575016851575e-12,3.5363390552356693e-12,3.374794828183301e-12,3.2290873753117445e-12,3.080543465342359e-12,2.9441901775714924e-12,2.8090884527303197e-12,2.6809811809586578e-12,2.5615951486509176e-12,2.4449456674925256e-12,2.3399620700532867e-12,2.2299166062810545e-12,2.133436871889243e-12,2.0352948838485064e-12,1.9423226659565895e-12,1.855946335589812e-12,1.7711344900446724e-12,1.6957235906817912e-12,1.6163361091427479e-12,1.545210081336283e-12,1.4742706221158923e-12,1.4089134531452197e-12,1.3443766382886465e-12,1.283139562090171e-12,1.2259451637336228e-12,1.1701769531127507e-12
1.0431982439494459e-10,9.969128512930052e-11,9.512264780906529e-11,9.111846701401895e-11,8.679834736854981e-11,8.30665145385761e-11,7.916891624979207e-11,7.55793049205029e-11,7.221083067275392e-11,6.891441243423885e-11,6.584806538998574e-11,6.284687112028221e-11,6.019992907905916e-11,5.731977480500058e-11,5.4847413994202824e-11,5.2320088852130415e-11,4.9927476358379043e-11,4.770916330932495e-11,4.552654075972495e-11,4.359660303194488e-11,4.154043947178851e-11,3.974611229080558e-11,3.7897835420131725e-11,3.621969807732149e-11,3.455842382532853e-11,3.2982883955831977e-11,3.1513764870732355e-11,3.007908637489812e-11,2.8786030355805566e-11,2.7433650384384933e-11,2.6245563662164563e-11,2.5038849079425048e-11,2.3895470965068033e-11,2.28325229549128e-11,2.1789505561246985e-11,2.086048235039219e-11,1.9884787752847223e-11,1.900928877933551e-11,1.8136998489011934e-11,1.733265758973619e-11,1.6543003220676142e-11,1.5785895107765397e-11,1.508209797355323e-11,1.4396183542607431e-11,1.3774625484513395e-11,1.3140967515190389e-11,1.2559312340736266e-11,1.1982996016514895e-11,1.1436516622901983e-11,1.0927240264842673e-11,1.0435942449402057e-11,9.981798963039913e-12,9.516572413591586e-12,9.096709301746705e-12,8.680024621282174e-12,8.294553730354211e-12,7.917086949103999e-12,7.555296985128454e-12,7.219556044527126e-12,6.890197235015155e-12,6.591549731466638e-12,6.288936526161683e-12,6.010136229772969e-12,5.734835394746345e-12,5.473610569559037e-12,5.229630980353293e-12,4.994480223214052e-12,4.776440038525664e-12,4.554532776072407e-12,4.353217844653794e-12,4.1550591574993e-12,3.969425031889188e-12,3.788968170575076e-12,3.6160584972204165e-12,3.459471433723692e-12,3.297747013107568e-12,3.1543069711623355e-12,3.0097586773684587e-12,2.8761425076223326e-12,2.7446094634968133e-12,2.6197256022319418e-12,2.5028520833081835e-12,2.3903015204281846e-12,2.2856501097853585e-12,2.1797688359352367e-12,2.083259481667742e-12,1.988527838215684e-12,1.8996265947384723e-12,1.8133454898691515e-12,1.7306960037294098e-12,1.65548055617936e-12,1.5792565533082583e-12,1.5094829317258314e-12,1.4407522124285627e-12,1.3759870683155977e-12,1.313541600805647e-12,1.2538319453841519e-12,1.1986632855894936e-12,1.1439801596692288e-12,1.0937651567707275e-12,1.0434044574936698e-12
9.294963914030045e-11,8.898917109723224e-11,8.482471646323263e-11,8.109059769567595e-11,7.736893688292069e-11,7.393800027676033e-11,7.055229722024332e-11,6.733941327208951e-11,6.433719513124785e-11,6.141117944135776e-11,5.8759948769075e-11,5.603190233762127e-11,5.355420882312314e-11,5.1117033938516984e-11,4.878584207138208e-11,4.6613382557405894e-11,4.448685132553222e-11,4.258036475861494e-11,4.0595754749724524e-11,3.8804716819054105e-11,3.7027211771184646e-11,3.538287642532806e-11,3.37653358495777e-11,3.22293498967118e-11,3.0813669689401286e-11,2.9406534468468435e-11,2.8118205667587817e-11,2.682134599652312e-11,2.5628762087142607e-11,2.4463633798730048e-11,2.334930172255571e-11,2.230853495542216e-11,2.1292043084091848e-11,2.0375316074891575e-11,1.9428704123893124e-11,1.8569936110875055e-11,1.772068716586324e-11,1.693275438881931e-11,1.616296226106112e-11,1.5425364944828845e-11,1.4746282491226535e-11,1.4073769693005598e-11,1.3455627593879654e-11,1.283641745145888e-11,1.2265019476115443e-11,1.1707941854222374e-11,1.1177699775948847e-11,1.0676654379228892e-11,1.019653672892221e-11,9.750115263652423e-12,9.298447413910276e-12,8.886758280150673e-12,8.482652486476297e-12,8.10341799079926e-12,7.735360466386622e-12,7.382794684790277e-12,7.057117379393765e-12,6.735658633323918e-12,6.439145028526036e-12,6.145953855650307e-12,5.869679015445622e-12,5.607587607223824e-12,5.349673799120623e-12,5.109784383645951e-12,4.8799850604106905e-12,4.665778143069563e-12,4.450205526822647e-12,4.252874302262585e-12,4.059665937778691e-12,3.87805846706281e-12,3.702063227247331e-12,3.5349835230011027e-12,3.3794533318657825e-12,3.2241741557304233e-12,3.0814811696053576e-12,2.9420786407696668e-12,2.809088452738538e-12,2.6817015264449277e-12,2.5603799795824465e-12,2.4487514967014017e-12,2.3355404524520366e-12,2.2327826741669726e-12,2.130190739919226e-12,2.0352948838505703e-12,1.9429100186368924e-12,1.855946335590844e-12,1.7717826280313648e-12,1.6918392832062698e-12,1.617245931330035e-12,1.5430762744905474e-12,1.4746780069807418e-12,1.408405148843999e-12,1.3443766382888173e-12,1.2836679193810135e-12,1.225634239468662e-12,1.171831458372931e-12,1.1177871294960503e-12,1.0685037906457744e-12,1.0195003843317238e-12,9.740409406219744e-13,9.302542717731974e-13
